,time (s),distance (m),velocity (m/s),acceleration (m/s^2),force (N),mass (kg)
0,0.0,0.0,0.0,3.9179175918174063,0.21940338514177476,0.056
1,0.001,1.9809165996615638e-06,0.0039825154475617444,4.04761634888573,0.22552445320818681,0.05571784323637084
2,0.002,8.009180614682528e-06,0.008095956348021589,4.179598572671755,0.23181390578593614,0.055463198619515285
3,0.003,1.8217213259590222e-05,0.012342461909377368,4.313817601466505,0.23827623918999208,0.055235585090335944
4,0.004,3.273927533205177e-05,0.016724466032288703,4.45065567181198,0.24491606204529304,0.05502920920089539
5,0.005,5.171223350844714e-05,0.021244749213208243,4.5904232567282985,0.25173809764321414,0.0548398445119925
6,0.006,7.527588395140343e-05,0.025906377069935677,4.7333854243371585,0.25874718632033583,0.05466429693004972
7,0.007,0.00010357320644912126,0.03071266325878622,4.879777067725324,0.26594828785782415,0.05450008968991573
8,0.008,0.00013675060666331644,0.03566714574109339,5.029811354197572,0.2733464838995745,0.054345275528366745
9,0.009000000000000001,0.00017495813879913393,0.04077356706022059,5.18368697962754,0.2809469803870961,0.05419829196694335
10,0.01,0.00021834969703504246,0.04603586324445707,5.341592292352936,0.2887551100089336,0.05405787154933513
11,0.011,0.00026708319726980107,0.05145815512939763,5.503707868875923,0.29677633466223097,0.0539229809671647
12,0.012,0.00032132077047714985,0.057044741039327655,5.670209298278954,0.305016247923839,0.05379276705295849
13,0.013000000000000001,0.0003812289331327124,0.0628000931509514,5.841268660314773,0.3134805775281531,0.05366652276378268
14,0.014,0.0004469787587946245,0.06872885464906567,6.017055627741928,0.3221751878486415,0.05354366118259521
15,0.015,0.0005187460493123803,0.07483583705755158,6.197739084190694,0.33110608237978784,0.05342368852286462
16,0.016,0.0005967115022043926,0.08112602105422186,6.38348670013708,0.3402794062159124,0.053306198038856285
17,0.017,0.000681060879002859,0.0876045546688049,6.57446638032181,0.3497014485230843,0.05319084900483847
18,0.018000000000000002,0.0007719851712631908,0.09427675398028926,6.770846219692412,0.3593786450000445,0.0530773603977038
19,0.019,0.0008696807728234247,0.10114810353174673,6.972794958495529,0.3693175803237736,0.05296550128349948
20,0.02,0.0009743496476310024,0.10822425689483585,7.180482362955965,0.3795249905750289,0.052855082902646545
21,0.021,0.0010861994971853904,0.11551103811233981,7.394079190474431,0.3900077656388486,0.052745954647237726
22,0.022,0.001205443932453542,0.12301444252482724,7.613757588654655,0.40077295157468296,0.05263799732367093
23,0.023,0.0013323026465591789,0.13074063836289473,7.839691063683832,0.41182775295045776,0.05253112011749886
24,0.024,0.0014670015901931516,0.13869596825204572,8.072054532141502,0.42317953513449197,0.05242525721914606
25,0.025,0.0016097731409113899,0.14688695028600324,8.311024783154531,0.434835826538815,0.052320362155600354
26,0.026000000000000002,0.0017608562819263346,0.15532027997841802,8.55678043950087,0.44680432080700555,0.05221640592113503
27,0.027,0.0019204967886541646,0.16400283296222765,8.809501386986543,0.4590928789392543,0.05211337835957771
28,0.028,0.0020889473915489437,0.17294166532104494,9.069369840935208,0.47170953134689836,0.052011279683160105
29,0.029,0.002266467977280683,0.18214401644564687,9.336569628847696,0.48466247982821714,0.05191012321385466
30,0.03,0.0024533257592522805,0.19161731046078043,9.611286630786447,0.49796009945678044,0.051809931238731004
31,0.031,0.0026497954646907892,0.20136915824028778,9.89370889362794,0.5116109403731469,0.051710733141001435
32,0.032,0.002856159539341911,0.2114073600521917,10.184026307209761,0.5256237294701609,0.05161256595518087
33,0.033,0.0030727083118363666,0.2217399068138716,10.48243117577695,0.5400073719615713,0.05151547030515527
34,0.034,0.0032997402074075506,0.2323749830900028,10.789117872762578,0.5547709528231038,0.0514194913213098
35,0.035,0.0035375619288432057,0.24332096890346502,11.104283111096578,0.5699237380945339,0.05132467646875876
36,0.036000000000000004,0.003786488675092608,0.2545864422748605,11.428126092778266,0.5854751760306922,0.051231074217904314
37,0.037,0.004046844246315072,0.26618018087664513,11.760848173521346,0.6014348980886955,0.05113873499725814
38,0.038,0.00431896144366314,0.2781111663205993,12.102653572804343,0.6178127197380339,0.051047707514846975
39,0.039,0.004603182108461189,0.29038858532497075,12.453748882789627,0.6346186410794719,0.05095804059101262
40,0.04,0.004899857324533819,0.30302183183329884,12.814343411144707,0.6518628472580031,0.05086978133355427
41,0.041,0.005209347744561341,0.3160205113475259,13.184649257306672,0.6695557086543896,0.050782974623563466
42,0.042,0.005532023731715399,0.32939444293032877,13.564881238621034,0.687707780839056,0.050697663233575524
43,0.043000000000000003,0.0058682653304597794,0.3431536586322995,13.955256947724573,0.7063298042713465,0.05061388743447785
